time, FPSSternPort, FPSBow, FPSSternStbd, OWCBow, OWCSternPort, OWCSternStbd, FPS_OWCUmbilical, FPSUmbilical, PressureSensor
0,8.0893e-05,0.000117,0.000154,3.489e-05,3.183e-05,3.0975e-05,7.2205e-05,0.000139,1.1661e-05
0.0078125,8.0926e-05,0.000116,0.000154,3.3694e-05,3.1902e-05,3.0987e-05,7.309e-05,0.00014063,-1.0127e-05
0.015625,8.0596e-05,0.00011525,0.000154,3.3826e-05,3.2548e-05,3.1149e-05,7.3228e-05,0.00014075,5.3764e-06
0.023438,8.0749e-05,0.00011613,0.000154,3.3438e-05,3.1789e-05,3.1164e-05,7.2627e-05,0.00013912,2.6711e-06
0.03125,8.1039e-05,0.000115,0.000154,3.394e-05,3.2323e-05,3.0934e-05,7.2557e-05,0.0001405,3.7475e-06
0.039063,8.0848e-05,0.00011687,0.00015387,3.3765e-05,3.1928e-05,2.971e-05,7.3798e-05,0.00014,-3.3615e-05
0.046875,8.0772e-05,0.00011675,0.000154,3.4196e-05,3.1301e-05,3.0636e-05,7.3865e-05,0.00013975,7.4474e-07
0.054688,8.1196e-05,0.00011563,0.00015338,3.4618e-05,3.1833e-05,3.1182e-05,7.3213e-05,0.00014,5.4267e-06
0.0625,8.0741e-05,0.000117,0.000154,3.4371e-05,3.1571e-05,3.0445e-05,7.1605e-05,0.000138,2.7277e-06
0.070313,8.1075e-05,0.00011538,0.000154,3.3745e-05,3.2149e-05,3.0722e-05,7.2861e-05,0.00013962,3.5225e-07
0.078125,8.0625e-05,0.000116,0.00015375,3.4782e-05,3.2433e-05,3.1243e-05,7.3102e-05,0.00014,3.0252e-05
0.085938,8.0489e-05,0.000117,0.00015387,3.4067e-05,3.1244e-05,3.1091e-05,7.3533e-05,0.00014,-5.1799e-06
0.09375,8.0312e-05,0.0001155,0.0001535,3.3971e-05,3.0431e-05,3.1051e-05,7.2955e-05,0.00014,1.2114e-06
0.10156,8.0456e-05,0.000117,0.00015313,3.4056e-05,3.1498e-05,3.096e-05,7.2191e-05,0.00013988,2.2115e-06
0.10938,8.1751e-05,0.00011525,0.00015375,3.3806e-05,3.2995e-05,3.0773e-05,7.1947e-05,0.00014,3.4909e-05
0.11719,8.0015e-05,0.000116,0.000154,3.3659e-05,3.1631e-05,3.0932e-05,7.3333e-05,0.00013962,-4.8713e-06
0.125,8.1221e-05,0.000117,0.000155,3.4156e-05,3.1949e-05,2.9461e-05,7.3648e-05,0.000139,-2.8007e-06
0.13281,8.0759e-05,0.00011538,0.000154,3.3788e-05,3.2211e-05,3.0027e-05,7.3116e-05,0.00014,3.3673e-06
0.14063,8.0094e-05,0.000117,0.00015425,3.331e-05,3.2017e-05,3.1152e-05,7.3472e-05,0.00013975,5.0633e-06
0.14844,8.1402e-05,0.00011688,0.00015388,3.4404e-05,3.2452e-05,3.0608e-05,7.3142e-05,0.00013988,-1.3202e-05
0.15625,8.0965e-05,0.0001155,0.0001535,3.4034e-05,3.1654e-05,3.0805e-05,7.2907e-05,0.00014,1.0112e-05
0.16406,8.1258e-05,0.00011688,0.000153,3.3781e-05,3.1685e-05,3.1382e-05,7.2925e-05,0.00014,3.4061e-06
0.17188,8.1131e-05,0.00011575,0.00015375,3.4148e-05,3.228e-05,3.129e-05,7.2913e-05,0.00014025,2.3498e-06
0.17969,8.1267e-05,0.00011662,0.00015338,3.3645e-05,3.1719e-05,3.0866e-05,7.2795e-05,0.00014,7.8227e-06
0.1875,8.1137e-05,0.000116,0.000154,3.3688e-05,3.1863e-05,3.0609e-05,7.2324e-05,0.00014,1.9355e-05
0.19531,8.0605e-05,0.00011538,0.00015338,3.4254e-05,3.1731e-05,3.0984e-05,7.2436e-05,0.00014,1.3009e-06
0.20313,8.064e-05,0.000116,0.000154,3.4139e-05,3.1732e-05,3.0544e-05,7.2958e-05,0.00014,1.163e-06
0.21094,8.1191e-05,0.00011512,0.00015388,3.4111e-05,3.2173e-05,3.0768e-05,7.2167e-05,0.00014,2.9357e-06
0.21875,8.0637e-05,0.000116,0.000154,3.3807e-05,3.1726e-05,3.0361e-05,7.3392e-05,0.00014,-4.4229e-06
0.22656,8.0845e-05,0.000117,0.00015388,3.4002e-05,3.1349e-05,3.0358e-05,7.306e-05,0.00013912,1.1519e-05
0.23438,8.1487e-05,0.00011575,0.00015375,3.3829e-05,3.2603e-05,3.1062e-05,7.3256e-05,0.00014075,4.8613e-06
0.24219,8.071e-05,0.00011738,0.00015363,3.4068e-05,3.1651e-05,3.014e-05,7.2452e-05,0.00013938,4.2354e-06
0.25,8.0196e-05,0.000116,0.000154,3.3753e-05,3.2413e-05,3.2027e-05,7.2214e-05,0.00014,-2.1456e-05
0.25781,8.0515e-05,0.00011562,0.000154,3.3886e-05,3.1919e-05,3.0213e-05,7.2989e-05,0.00014,-8.7183e-06
0.26563,8.0806e-05,0.000116,0.000153,3.3938e-05,3.271e-05,3.0811e-05,7.2114e-05,0.00013975,3.8027e-06
0.27344,8.0526e-05,0.000115,0.00015313,3.4241e-05,3.1347e-05,3.109e-05,7.3854e-05,0.00013913,1.5383e-06
0.28125,8.0893e-05,0.000117,0.000154,3.3477e-05,3.1915e-05,3.068e-05,7.3611e-05,0.00014,3.3122e-06
0.28906,8.076e-05,0.00011587,0.000153,3.3879e-05,3.2538e-05,3.0769e-05,7.4086e-05,0.00014,-3.5619e-06
0.29688,8.0204e-05,0.000116,0.00015375,3.354e-05,3.1909e-05,3.1287e-05,7.4167e-05,0.000141,-1.9842e-05
0.30469,8.0669e-05,0.00011662,0.00015338,3.4102e-05,3.16e-05,3.0009e-05,7.2336e-05,0.00014,1.0392e-06
0.3125,8.0678e-05,0.000116,0.000153,3.401e-05,3.1904e-05,3.0957e-05,7.3162e-05,0.00014,2.2685e-06
0.32031,8.0731e-05,0.000117,0.00015338,3.4109e-05,3.2074e-05,3.0918e-05,7.3141e-05,0.00014038,8.1574e-06
0.32813,8.1052e-05,0.000116,0.000153,3.4344e-05,3.3186e-05,3.1473e-05,7.3024e-05,0.00013975,5.1267e-05
0.33594,8.0751e-05,0.00011438,0.00015313,3.3974e-05,3.2292e-05,3.1121e-05,7.1985e-05,0.00014,1.2632e-05
0.34375,8.0741e-05,0.000116,0.0001535,3.395e-05,3.189e-05,3.0652e-05,7.3222e-05,0.00014,2.2282e-06
0.35156,8.0345e-05,0.000115,0.00015388,3.3427e-05,3.2125e-05,3.1082e-05,7.2322e-05,0.00013988,-5.3435e-06
0.35938,8.0984e-05,0.00011575,0.000153,3.4603e-05,3.1957e-05,3.072e-05,7.2765e-05,0.00014,4.3516e-05
0.36719,8.0463e-05,0.00011662,0.00015363,3.3633e-05,3.1848e-05,3.0687e-05,7.3287e-05,0.00014,-6.1889e-06
0.375,8.0449e-05,0.000116,0.000153,3.4064e-05,3.1806e-05,3.0224e-05,7.3344e-05,0.000139,4.1352e-06
0.38281,8.0323e-05,0.000117,0.00015363,3.4285e-05,3.1692e-05,3.1057e-05,7.2495e-05,0.00013975,2.1574e-06
0.39063,8.1067e-05,0.000116,0.000153,3.3907e-05,3.1442e-05,3.0545e-05,7.2214e-05,0.00014,7.1642e-07
0.39844,8.0297e-05,0.00011513,0.000153,3.4217e-05,3.177e-05,3.1008e-05,7.2845e-05,0.000141,2.9802e-05
