time, FPSSternPort, FPSBow, FPSSternStbd, OWCBow, OWCSternPort, OWCSternStbd, FPS_OWCUmbilical, FPSUmbilical, PressureSensor
0,6.7229e-05,9.6587e-05,0.000129,3.2909e-05,3.1866e-05,3.0731e-05,7.4916e-05,0.000137,-4.0114e-06
0.0078125,6.859e-05,0.00010325,0.000129,3.3152e-05,3.0843e-05,3.0932e-05,7.3388e-05,0.00013862,-1.1967e-05
0.015625,6.8271e-05,0.000106,0.000129,3.3888e-05,3.1886e-05,3.0649e-05,7.4245e-05,0.000137,3.2331e-06
0.023438,6.8563e-05,9.1839e-05,0.00013,3.3325e-05,3.138e-05,2.9663e-05,7.3435e-05,0.000137,7.9237e-06
0.03125,6.8384e-05,0.00012,0.00013,3.3634e-05,3.1778e-05,3.0337e-05,7.4401e-05,0.000137,2.0225e-06
0.039063,6.7732e-05,0.00010437,0.00013,3.3874e-05,3.145e-05,3.0524e-05,7.4048e-05,0.00013788,-2.2074e-05
0.046875,6.9459e-05,0.000101,0.00012825,3.3844e-05,3.1922e-05,3.0747e-05,7.3609e-05,0.000137,1.6817e-05
0.054688,6.8502e-05,0.00010725,0.00012962,3.3483e-05,3.116e-05,3.0179e-05,7.413e-05,0.000137,3.0715e-07
0.0625,6.8666e-05,8.5851e-05,0.000129,3.3166e-05,3.1669e-05,3.0364e-05,7.3932e-05,0.000136,-1.4976e-06
0.070313,6.8017e-05,0.00011687,0.00013038,3.3377e-05,3.1203e-05,3.0346e-05,7.3603e-05,0.00013825,-2.0897e-05
0.078125,6.9294e-05,0.000104,0.00013,3.4117e-05,3.145e-05,2.9677e-05,7.3228e-05,0.000136,1.6405e-05
0.085938,6.9512e-05,0.00010259,0.00013,3.3768e-05,3.1273e-05,2.985e-05,7.3751e-05,0.000137,2.6811e-06
0.09375,6.8967e-05,0.000112,0.0001305,3.424e-05,3.1839e-05,3.0872e-05,7.3826e-05,0.000137,2.7709e-06
0.10156,6.9725e-05,8.619e-05,0.00013088,3.3978e-05,3.1451e-05,3.1186e-05,7.4293e-05,0.000137,-4.3517e-06
0.10938,6.9514e-05,0.0001075,0.00012975,3.3982e-05,3.2003e-05,3.042e-05,7.3007e-05,0.00013725,3.0403e-05
