#EDL	Date	21.11.2014	Local Time	 9:58:56	H-200 T-3.00	
Rate (Hz)	Main array	
128.000000	element_1	element_2
Time	Gauge	Gauge
s	m	m
00:47:11.031	-0.00132854	-0.00072103
00:47:11.039	-0.00109742	-0.00075185
00:47:11.047	-0.00126251	-0.00028966
00:47:11.055	-0.00106440	-0.00056697
00:47:11.063	-0.00109742	-0.00069022
00:47:11.070	-0.00109742	-0.00087509
00:47:11.078	-0.00096535	-0.00090591
00:47:11.086	-0.00109742	-0.00069022
00:47:11.094	-0.00096535	-0.00062860
00:47:11.102	-0.00070120	-0.00090591
00:47:11.109	-0.00076724	-0.00084428
00:47:11.117	-0.00089931	-0.00102915
00:47:11.125	-0.00037102	-0.00090591
00:47:11.133	-0.00063517	-0.00093672
00:47:11.141	-0.00056913	-0.00090591
00:47:11.148	-0.00047007	-0.00115240
00:47:11.156	-0.00053611	-0.00069022
00:47:11.164	-0.00060215	-0.00087509
00:47:11.172	-0.00037102	-0.00121402
00:47:11.180	-0.00033800	-0.00130646
00:47:11.188	-0.00047007	-0.00090591
00:47:11.195	-0.00033800	-0.00087509
00:47:11.203	-0.00017290	-0.00102915
00:47:11.211	-0.00004082	-0.00099834
00:47:11.219	0.00022333	-0.00090591
00:47:11.227	-0.00017290	-0.00090591
00:47:11.234	0.00002522	-0.00075185
00:47:11.242	0.00005824	-0.00087509
00:47:11.250	-0.00000780	-0.00065941
00:47:11.258	0.00015729	-0.00081347
00:47:11.266	0.00002522	-0.00053616
00:47:11.273	0.00028937	-0.00069022
00:47:11.281	0.00028937	-0.00047454
00:47:11.289	0.00032239	-0.00056697
00:47:11.297	0.00022333	-0.00047454
00:47:11.305	0.00015729	-0.00047454
00:47:11.313	0.00009125	-0.00032048
00:47:11.320	0.00052051	-0.00044373
00:47:11.328	0.00042145	-0.00041291
00:47:11.336	0.00042145	-0.00025885
00:47:11.344	0.00042145	-0.00025885
00:47:11.352	0.00055353	-0.00032048
00:47:11.359	0.00048749	0.00004928
00:47:11.367	0.00048749	-0.00004316
00:47:11.375	0.00048749	0.00001846
00:47:11.383	0.00058656	-0.00013560
00:47:11.391	0.00038843	-0.00004316
00:47:11.398	0.00052051	0.00004928
00:47:11.406	0.00052051	0.00035741
00:47:11.414	0.00055353	0.00004928
00:47:11.422	0.00048749	0.00020334
00:47:11.430	0.00071864	0.00038822
00:47:11.438	0.00052051	0.00029578
00:47:11.445	0.00061958	0.00051148
00:47:11.453	0.00058656	0.00038822
00:47:11.461	0.00052051	0.00032660
00:47:11.469	0.00068562	0.00023416
00:47:11.477	0.00028937	0.00048066
00:47:11.484	0.00035541	0.00051148
00:47:11.492	0.00052051	0.00051148
00:47:11.500	0.00052051	0.00023416
00:47:11.508	0.00055353	0.00041904
00:47:11.516	0.00038843	0.00069636
00:47:11.523	0.00028937	0.00038822
00:47:11.531	0.00048749	0.00032660
00:47:11.539	0.00065260	0.00041904
00:47:11.547	0.00032239	0.00057311
00:47:11.555	0.00025635	0.00041904
00:47:11.563	0.00035541	0.00051148
00:47:11.570	0.00028937	0.00029578
00:47:11.578	0.00019031	0.00041904
00:47:11.586	0.00009125	0.00057311
00:47:11.594	0.00019031	0.00041904
00:47:11.602	0.00009125	0.00017253
00:47:11.609	0.00022333	0.00044985
00:47:11.617	0.00009125	0.00020334
00:47:11.625	0.00019031	0.00041904
00:47:11.633	-0.00007384	0.00020334
00:47:11.641	-0.00000780	0.00011090
00:47:11.648	-0.00010686	0.00001846
00:47:11.656	-0.00017290	0.00026497
00:47:11.664	0.00002522	-0.00007397
00:47:11.672	-0.00004082	0.00011090
00:47:11.680	-0.00020592	-0.00004316
00:47:11.688	-0.00027196	-0.00022804
00:47:11.695	-0.00030498	-0.00022804
00:47:11.703	-0.00037102	-0.00022804
00:47:11.711	-0.00040403	-0.00032048
00:47:11.719	-0.00037102	-0.00025885
00:47:11.727	-0.00053611	-0.00016641
00:47:11.734	-0.00027196	-0.00050535
00:47:11.742	-0.00040403	-0.00044373
00:47:11.750	-0.00070120	-0.00065941
00:47:11.758	-0.00053611	-0.00072103
00:47:11.766	-0.00060215	-0.00053616
00:47:11.773	-0.00073422	-0.00050535
00:47:11.781	-0.00070120	-0.00075185
00:47:11.789	-0.00056913	-0.00075185
00:47:11.797	-0.00080026	-0.00072103
00:47:11.805	-0.00089931	-0.00072103
00:47:11.813	-0.00086629	-0.00078266
00:47:11.820	-0.00073422	-0.00075185
00:47:11.828	-0.00083328	-0.00069022
00:47:11.836	-0.00083328	-0.00084428
00:47:11.844	-0.00096535	-0.00078266
00:47:11.852	-0.00063517	-0.00087509
00:47:11.859	-0.00053611	-0.00081347
00:47:11.867	-0.00073422	-0.00084428
00:47:11.875	-0.00073422	-0.00081347
00:47:11.883	-0.00070120	-0.00090591
00:47:11.891	-0.00076724	-0.00102915
00:47:11.898	-0.00066818	-0.00093672
00:47:11.906	-0.00076724	-0.00072103
00:47:11.914	-0.00086629	-0.00078266
00:47:11.922	-0.00060215	-0.00087509
00:47:11.930	-0.00066818	-0.00087509
00:47:11.938	-0.00060215	-0.00093672
00:47:11.945	-0.00070120	-0.00065941
00:47:11.953	-0.00073422	-0.00078266
00:47:11.961	-0.00066818	-0.00081347
00:47:11.969	-0.00070120	-0.00090591
00:47:11.977	-0.00083328	-0.00065941
00:47:11.984	-0.00056913	-0.00053616
