time, FPSSternPort, FPSBow, FPSSternStbd, OWCBow, OWCSternPort, OWCSternStbd, FPS_OWCUmbilical, FPSUmbilical, PressureSensor
0,6.8186e-05,0.000108,0.000134,3.4231e-05,3.1753e-05,3.1243e-05,7.3586e-05,0.000138,1.5081e-06
0.0078125,6.926e-05,0.00010663,0.00013263,3.3637e-05,3.2122e-05,3.0644e-05,7.3195e-05,0.000138,-8.1439e-06
0.015625,6.8619e-05,0.00010125,0.00013275,3.3636e-05,3.2205e-05,3.0815e-05,7.3846e-05,0.0001375,5.3995e-06
0.023438,6.8958e-05,0.00011812,0.000133,3.3807e-05,3.0849e-05,3.0123e-05,7.2682e-05,0.000137,-5.6095e-07
0.03125,6.8664e-05,9.4776e-05,0.0001325,3.363e-05,3.1776e-05,3.1308e-05,7.2998e-05,0.000138,9.3729e-06
0.039063,6.8504e-05,0.0001055,0.00013275,3.2559e-05,3.1703e-05,3.1071e-05,7.3903e-05,0.00013788,-2.4162e-05
0.046875,6.8591e-05,0.00010625,0.000132,3.3232e-05,3.0814e-05,3.0738e-05,7.3376e-05,0.00013725,5.1714e-06
0.054688,6.892e-05,9.5657e-05,0.000132,3.3816e-05,3.1651e-05,3.0987e-05,7.4016e-05,0.000138,4.0841e-06
0.0625,6.8326e-05,0.00012,0.000131,3.3679e-05,3.0883e-05,3.0585e-05,7.3126e-05,0.000137,1.7795e-06
0.070313,6.9959e-05,9.934e-05,0.000131,3.3859e-05,3.1918e-05,3.0077e-05,7.2859e-05,0.00013763,3.2739e-05
0.078125,6.8526e-05,0.000104,0.00013275,3.3475e-05,3.1413e-05,3.1385e-05,7.4037e-05,0.000138,-8.6699e-06
0.085938,6.9428e-05,0.000108,0.00013287,3.4687e-05,3.245e-05,3.0492e-05,7.2942e-05,0.00013787,1.1268e-06
0.09375,6.9126e-05,8.9138e-05,0.0001325,3.3737e-05,3.1897e-05,3.0388e-05,7.3763e-05,0.0001375,4.5377e-06
0.10156,6.8752e-05,0.000118,0.00013288,3.296e-05,3.1471e-05,3.1134e-05,7.2743e-05,0.00013788,-1.2194e-05
0.10938,6.9063e-05,0.00010575,0.000131,3.4217e-05,3.1621e-05,3.085e-05,7.3448e-05,0.000138,3.0617e-06
0.11719,6.908e-05,0.00010237,0.000131,3.3476e-05,3.2639e-05,3.0527e-05,7.3655e-05,0.000138,6.8636e-06
0.125,6.9634e-05,0.00011,0.000131,3.3503e-05,3.2729e-05,3.0579e-05,7.3105e-05,0.000137,6.1891e-08
0.13281,6.9428e-05,8.6728e-05,0.000131,3.3863e-05,3.1644e-05,3.059e-05,7.3699e-05,0.00013763,1.4693e-06
0.14063,6.8698e-05,0.00011075,0.00013175,3.3475e-05,3.1689e-05,3.0127e-05,7.339e-05,0.00013725,1.8943e-05
0.14844,6.9612e-05,0.00010512,0.00013025,3.3622e-05,3.1256e-05,3.1217e-05,7.3918e-05,0.000138,3.1206e-06
0.15625,6.9856e-05,0.0001025,0.0001315,3.3304e-05,3.3098e-05,3.0662e-05,7.4109e-05,0.0001385,2.7337e-06
0.16406,6.9634e-05,0.00011475,0.00013088,3.3353e-05,3.2242e-05,3.0614e-05,7.3096e-05,0.00013875,3.4676e-06
