#EDL	Date	21.11.2014	Local Time	 9:58:56	H-200 T-3.00	
Rate (Hz)	Main array	
128.000000	element_1	element_2
Time	Gauge	Gauge
s	m	m
02:28:18.063	-0.00089931	0.00017253
02:28:18.070	-0.00093233	0.00011090
02:28:18.078	-0.00080026	-0.00007397
02:28:18.086	-0.00086629	0.00029578
02:28:18.094	-0.00099837	0.00060392
02:28:18.102	-0.00080026	0.00054229
02:28:18.109	-0.00086629	0.00066555
02:28:18.117	-0.00073422	0.00063473
02:28:18.125	-0.00070120	0.00051148
02:28:18.133	-0.00076724	0.00097369
02:28:18.141	-0.00073422	0.00094287
02:28:18.148	-0.00076724	0.00075799
02:28:18.156	-0.00070120	0.00094287
02:28:18.164	-0.00083328	0.00131265
02:28:18.172	-0.00050309	0.00094287
02:28:18.180	-0.00066818	0.00112776
02:28:18.188	-0.00053611	0.00081962
02:28:18.195	-0.00027196	0.00103532
02:28:18.203	-0.00043705	0.00115857
02:28:18.211	-0.00027196	0.00103532
02:28:18.219	-0.00017290	0.00100450
02:28:18.227	-0.00013988	0.00085043
02:28:18.234	-0.00040403	0.00085043
02:28:18.242	0.00009125	0.00081962
02:28:18.250	0.00005824	0.00075799
02:28:18.258	0.00022333	0.00072717
02:28:18.266	0.00032239	0.00069636
02:28:18.273	0.00025635	0.00072717
02:28:18.281	0.00028937	0.00051148
02:28:18.289	0.00035541	0.00044985
02:28:18.297	0.00042145	0.00044985
02:28:18.305	0.00055353	0.00032660
02:28:18.313	0.00071864	0.00041904
02:28:18.320	0.00058656	0.00020334
02:28:18.328	0.00094978	0.00026497
02:28:18.336	0.00098280	0.00011090
02:28:18.344	0.00091676	0.00004928
02:28:18.352	0.00085072	-0.00001235
02:28:18.359	0.00098280	-0.00001235
02:28:18.367	0.00134604	-0.00013560
02:28:18.375	0.00101582	-0.00016641
02:28:18.383	0.00127999	-0.00022804
02:28:18.391	0.00114791	-0.00038210
02:28:18.398	0.00141208	-0.00016641
02:28:18.406	0.00144510	-0.00044373
02:28:18.414	0.00137906	-0.00019722
02:28:18.422	0.00164323	-0.00044373
02:28:18.430	0.00137906	-0.00041291
02:28:18.438	0.00134604	-0.00056697
02:28:18.445	0.00141208	-0.00065941
02:28:18.453	0.00161021	-0.00053616
02:28:18.461	0.00174230	-0.00053616
02:28:18.469	0.00154417	-0.00059779
02:28:18.477	0.00174230	-0.00062860
02:28:18.484	0.00167626	-0.00056697
02:28:18.492	0.00151115	-0.00065941
02:28:18.500	0.00154417	-0.00072103
02:28:18.508	0.00151115	-0.00078266
02:28:18.516	0.00157719	-0.00078266
02:28:18.523	0.00137906	-0.00069022
02:28:18.531	0.00137906	-0.00102915
02:28:18.539	0.00137906	-0.00078266
02:28:18.547	0.00141208	-0.00090591
02:28:18.555	0.00114791	-0.00075185
02:28:18.563	0.00137906	-0.00099834
02:28:18.570	0.00118093	-0.00112159
02:28:18.578	0.00104885	-0.00105996
02:28:18.586	0.00094978	-0.00105996
02:28:18.594	0.00101582	-0.00105996
02:28:18.602	0.00081770	-0.00112159
02:28:18.609	0.00091676	-0.00109078
02:28:18.617	0.00101582	-0.00112159
02:28:18.625	0.00045447	-0.00090591
02:28:18.633	0.00068562	-0.00115240
02:28:18.641	0.00042145	-0.00112159
02:28:18.648	0.00038843	-0.00109078
02:28:18.656	0.00052051	-0.00115240
02:28:18.664	0.00032239	-0.00087509
02:28:18.672	0.00028937	-0.00102915
02:28:18.680	0.00015729	-0.00093672
02:28:18.688	0.00002522	-0.00102915
02:28:18.695	-0.00007384	-0.00087509
02:28:18.703	-0.00010686	-0.00081347
02:28:18.711	-0.00023894	-0.00072103
02:28:18.719	-0.00017290	-0.00087509
02:28:18.727	-0.00017290	-0.00069022
02:28:18.734	-0.00047007	-0.00044373
02:28:18.742	-0.00037102	-0.00044373
02:28:18.750	-0.00047007	-0.00025885
02:28:18.758	-0.00040403	-0.00016641
02:28:18.766	-0.00050309	0.00001846
02:28:18.773	-0.00063517	0.00020334
02:28:18.781	-0.00063517	0.00041904
02:28:18.789	-0.00050309	0.00023416
02:28:18.797	-0.00066818	0.00057311
02:28:18.805	-0.00073422	0.00081962
02:28:18.813	-0.00083328	0.00081962
02:28:18.820	-0.00080026	0.00078880
02:28:18.828	-0.00096535	0.00128183
02:28:18.836	-0.00093233	0.00146672
02:28:18.844	-0.00053611	0.00177487
02:28:18.852	-0.00073422	0.00162080
02:28:18.859	-0.00066818	0.00174406
02:28:18.867	-0.00076724	0.00165161
02:28:18.875	-0.00089931	0.00220629
02:28:18.883	-0.00066818	0.00220629
02:28:18.891	-0.00076724	0.00232955
02:28:18.898	-0.00060215	0.00229874
02:28:18.906	-0.00037102	0.00232955
02:28:18.914	-0.00060215	0.00263772
02:28:18.922	-0.00037102	0.00263772
02:28:18.930	-0.00033800	0.00273017
02:28:18.938	-0.00023894	0.00254527
02:28:18.945	-0.00030498	0.00288425
02:28:18.953	-0.00010686	0.00282262
02:28:18.961	-0.00013988	0.00269935
02:28:18.969	-0.00013988	0.00254527
02:28:18.977	-0.00000780	0.00254527
02:28:18.984	-0.00010686	0.00276098
02:28:18.992	0.00005824	0.00248364
02:28:19.000	0.00002522	0.00257608
02:28:19.008	0.00015729	0.00239119
02:28:19.016	0.00009125	0.00245282
02:28:19.023	0.00032239	0.00232955
02:28:19.031	0.00038843	0.00208303
