#EDL	Date	21.11.2014	Local Time	10:23:44	H-200 T-4.74	
Rate (Hz)	Main array	
128.000000	element_1	element_2
Time	Gauge	Gauge
s	m	m
01:11:58.375	0.00028937	-0.00136808
01:11:58.383	0.00038843	-0.00142970
01:11:58.391	0.00005824	-0.00127564
01:11:58.398	0.00015729	-0.00142970
01:11:58.406	0.00032239	-0.00133727
01:11:58.414	0.00042145	-0.00127564
01:11:58.422	0.00028937	-0.00130646
01:11:58.430	0.00009125	-0.00099834
01:11:58.438	0.00015729	-0.00118321
01:11:58.445	0.00025635	-0.00133727
01:11:58.453	0.00028937	-0.00136808
01:11:58.461	0.00012427	-0.00112159
01:11:58.469	0.00022333	-0.00087509
01:11:58.477	0.00015729	-0.00093672
01:11:58.484	0.00015729	-0.00096753
01:11:58.492	0.00015729	-0.00099834
01:11:58.500	0.00005824	-0.00096753
01:11:58.508	0.00015729	-0.00078266
01:11:58.516	0.00005824	-0.00084428
01:11:58.523	-0.00000780	-0.00065941
01:11:58.531	-0.00020592	-0.00053616
01:11:58.539	-0.00000780	-0.00041291
01:11:58.547	-0.00007384	-0.00050535
01:11:58.555	-0.00013988	-0.00069022
01:11:58.563	-0.00007384	-0.00044373
01:11:58.570	-0.00037102	-0.00016641
01:11:58.578	-0.00037102	-0.00019722
01:11:58.586	-0.00017290	-0.00035129
01:11:58.594	-0.00037102	-0.00028966
01:11:58.602	-0.00060215	-0.00010479
01:11:58.609	-0.00043705	-0.00016641
01:11:58.617	-0.00047007	-0.00025885
01:11:58.625	-0.00040403	-0.00013560
01:11:58.633	-0.00053611	0.00004928
01:11:58.641	-0.00056913	0.00023416
01:11:58.648	-0.00053611	0.00011090
01:11:58.656	-0.00066818	0.00026497
01:11:58.664	-0.00056913	0.00011090
01:11:58.672	-0.00056913	0.00014172
01:11:58.680	-0.00053611	0.00023416
01:11:58.688	-0.00066818	0.00032660
01:11:58.695	-0.00063517	0.00014172
01:11:58.703	-0.00050309	0.00023416
01:11:58.711	-0.00093233	0.00020334
01:11:58.719	-0.00066818	0.00014172
01:11:58.727	-0.00037102	0.00020334
01:11:58.734	-0.00043705	0.00004928
01:11:58.742	-0.00047007	0.00011090
01:11:58.750	-0.00047007	0.00038822
01:11:58.758	-0.00040403	0.00014172
01:11:58.766	-0.00040403	0.00001846
01:11:58.773	-0.00017290	-0.00007397
01:11:58.781	-0.00033800	0.00020334
01:11:58.789	-0.00030498	0.00008009
01:11:58.797	-0.00010686	-0.00004316
01:11:58.805	-0.00007384	0.00004928
01:11:58.813	-0.00007384	-0.00010479
01:11:58.820	-0.00023894	-0.00004316
01:11:58.828	0.00002522	0.00011090
01:11:58.836	0.00022333	0.00004928
01:11:58.844	0.00009125	-0.00025885
01:11:58.852	0.00015729	-0.00022804
01:11:58.859	0.00005824	-0.00032048
01:11:58.867	0.00038843	-0.00050535
01:11:58.875	0.00025635	-0.00047454
01:11:58.883	0.00042145	-0.00059779
01:11:58.891	0.00028937	-0.00050535
01:11:58.898	0.00025635	-0.00059779
01:11:58.906	0.00052051	-0.00056697
01:11:58.914	0.00048749	-0.00078266
01:11:58.922	0.00012427	-0.00075185
01:11:58.930	0.00035541	-0.00069022
01:11:58.938	0.00045447	-0.00090591
01:11:58.945	0.00048749	-0.00105996
01:11:58.953	0.00025635	-0.00090591
01:11:58.961	0.00038843	-0.00087509
01:11:58.969	0.00035541	-0.00096753
01:11:58.977	0.00032239	-0.00099834
01:11:58.984	0.00035541	-0.00109078
01:11:58.992	0.00019031	-0.00102915
01:11:59.000	0.00022333	-0.00105996
01:11:59.008	0.00042145	-0.00090591
01:11:59.016	0.00025635	-0.00112159
01:11:59.023	0.00032239	-0.00105996
01:11:59.031	0.00012427	-0.00096753
01:11:59.039	-0.00017290	-0.00084428
01:11:59.047	-0.00010686	-0.00099834
01:11:59.055	-0.00010686	-0.00093672
01:11:59.063	-0.00004082	-0.00118321
01:11:59.070	-0.00037102	-0.00084428
01:11:59.078	-0.00030498	-0.00078266
01:11:59.086	-0.00020592	-0.00109078
01:11:59.094	-0.00030498	-0.00078266
01:11:59.102	-0.00056913	-0.00075185
01:11:59.109	-0.00047007	-0.00078266
01:11:59.117	-0.00043705	-0.00069022
01:11:59.125	-0.00043705	-0.00072103
01:11:59.133	-0.00063517	-0.00059779
01:11:59.141	-0.00056913	-0.00038210
01:11:59.148	-0.00076724	-0.00053616
01:11:59.156	-0.00073422	-0.00059779
01:11:59.164	-0.00093233	-0.00044373
01:11:59.172	-0.00089931	-0.00028966
01:11:59.180	-0.00089931	-0.00025885
01:11:59.188	-0.00086629	-0.00007397
01:11:59.195	-0.00086629	-0.00004316
01:11:59.203	-0.00089931	-0.00025885
01:11:59.211	-0.00099837	0.00014172
01:11:59.219	-0.00083328	0.00026497
01:11:59.227	-0.00070120	0.00017253
01:11:59.234	-0.00076724	0.00004928
01:11:59.242	-0.00096535	0.00017253
01:11:59.250	-0.00066818	0.00038822
01:11:59.258	-0.00070120	0.00044985
01:11:59.266	-0.00066818	0.00023416
01:11:59.273	-0.00050309	0.00023416
01:11:59.281	-0.00066818	0.00051148
01:11:59.289	-0.00027196	0.00032660
01:11:59.297	-0.00037102	0.00041904
01:11:59.305	-0.00033800	0.00029578
01:11:59.313	-0.00033800	0.00048066
01:11:59.320	-0.00017290	0.00041904
01:11:59.328	0.00009125	0.00038822
