#EDL	Date	20.11.2014	Local Time	16:24:19	H-100 T-2.06	
Rate (Hz)	Main array	
128.000000	element_1	element_2
Time	Gauge	Gauge
s	m	m
06:27:27.563	0.00055353	0.00066555
06:27:27.570	0.00058656	0.00066555
06:27:27.578	0.00061958	0.00060392
06:27:27.586	0.00071864	0.00075799
06:27:27.594	0.00078468	0.00075799
06:27:27.602	0.00081770	0.00078880
06:27:27.609	0.00085072	0.00072717
06:27:27.617	0.00055353	0.00072717
06:27:27.625	0.00075166	0.00088124
06:27:27.633	0.00071864	0.00081962
06:27:27.641	0.00075166	0.00063473
06:27:27.648	0.00081770	0.00075799
06:27:27.656	0.00085072	0.00081962
06:27:27.664	0.00078468	0.00066555
06:27:27.672	0.00091676	0.00063473
06:27:27.680	0.00091676	0.00088124
06:27:27.688	0.00081770	0.00060392
06:27:27.695	0.00085072	0.00066555
06:27:27.703	0.00068562	0.00088124
06:27:27.711	0.00078468	0.00060392
06:27:27.719	0.00094978	0.00085043
06:27:27.727	0.00055353	0.00063473
06:27:27.734	0.00068562	0.00069636
06:27:27.742	0.00061958	0.00051148
06:27:27.750	0.00065260	0.00066555
06:27:27.758	0.00071864	0.00060392
06:27:27.766	0.00071864	0.00069636
06:27:27.773	0.00085072	0.00063473
06:27:27.781	0.00071864	0.00048066
06:27:27.789	0.00065260	0.00057311
06:27:27.797	0.00055353	0.00072717
06:27:27.805	0.00055353	0.00063473
06:27:27.813	0.00065260	0.00063473
06:27:27.820	0.00052051	0.00051148
06:27:27.828	0.00065260	0.00041904
06:27:27.836	0.00052051	0.00078880
06:27:27.844	0.00055353	0.00048066
06:27:27.852	0.00065260	0.00060392
06:27:27.859	0.00048749	0.00066555
06:27:27.867	0.00045447	0.00060392
06:27:27.875	0.00038843	0.00054229
06:27:27.883	0.00045447	0.00066555
06:27:27.891	0.00042145	0.00048066
06:27:27.898	0.00058656	0.00051148
06:27:27.906	0.00028937	0.00060392
06:27:27.914	0.00048749	0.00051148
06:27:27.922	0.00032239	0.00057311
06:27:27.930	0.00055353	0.00051148
06:27:27.938	0.00032239	0.00054229
06:27:27.945	0.00032239	0.00032660
06:27:27.953	0.00038843	0.00054229
06:27:27.961	0.00038843	0.00044985
06:27:27.969	0.00019031	0.00072717
06:27:27.977	0.00025635	0.00069636
06:27:27.984	0.00025635	0.00044985
06:27:27.992	0.00045447	0.00051148
06:27:28.000	0.00035541	0.00060392
06:27:28.008	0.00022333	0.00048066
06:27:28.016	0.00032239	0.00066555
06:27:28.023	0.00025635	0.00060392
06:27:28.031	0.00025635	0.00035741
06:27:28.039	0.00028937	0.00044985
06:27:28.047	0.00019031	0.00069636
06:27:28.055	0.00012427	0.00075799
06:27:28.063	0.00045447	0.00038822
06:27:28.070	0.00052051	0.00054229
06:27:28.078	0.00015729	0.00072717
06:27:28.086	0.00032239	0.00063473
06:27:28.094	0.00045447	0.00066555
06:27:28.102	0.00028937	0.00054229
06:27:28.109	0.00035541	0.00063473
06:27:28.117	0.00028937	0.00069636
06:27:28.125	0.00032239	0.00060392
06:27:28.133	0.00038843	0.00072717
06:27:28.141	0.00035541	0.00069636
06:27:28.148	0.00032239	0.00075799
06:27:28.156	0.00035541	0.00078880
06:27:28.164	0.00052051	0.00081962
06:27:28.172	0.00048749	0.00054229
06:27:28.180	0.00048749	0.00069636
06:27:28.188	0.00035541	0.00100450
06:27:28.195	0.00052051	0.00075799
06:27:28.203	0.00075166	0.00072717
06:27:28.211	0.00061958	0.00069636
06:27:28.219	0.00048749	0.00085043
06:27:28.227	0.00038843	0.00097369
06:27:28.234	0.00071864	0.00075799
06:27:28.242	0.00068562	0.00081962
06:27:28.250	0.00081770	0.00085043
06:27:28.258	0.00068562	0.00100450
06:27:28.266	0.00078468	0.00094287
06:27:28.273	0.00081770	0.00106613
06:27:28.281	0.00078468	0.00085043
06:27:28.289	0.00091676	0.00078880
06:27:28.297	0.00075166	0.00097369
06:27:28.305	0.00098280	0.00091206
06:27:28.313	0.00091676	0.00085043
06:27:28.320	0.00081770	0.00072717
06:27:28.328	0.00078468	0.00118939
06:27:28.336	0.00078468	0.00091206
06:27:28.344	0.00081770	0.00094287
06:27:28.352	0.00088374	0.00088124
06:27:28.359	0.00078468	0.00088124
06:27:28.367	0.00078468	0.00103532
06:27:28.375	0.00101582	0.00088124
06:27:28.383	0.00104885	0.00085043
06:27:28.391	0.00094978	0.00088124
06:27:28.398	0.00088374	0.00097369
06:27:28.406	0.00081770	0.00069636
06:27:28.414	0.00101582	0.00072717
06:27:28.422	0.00104885	0.00094287
06:27:28.430	0.00088374	0.00085043
06:27:28.438	0.00098280	0.00106613
06:27:28.445	0.00104885	0.00097369
06:27:28.453	0.00114791	0.00091206
06:27:28.461	0.00101582	0.00069636
06:27:28.469	0.00078468	0.00097369
06:27:28.477	0.00104885	0.00100450
06:27:28.484	0.00098280	0.00069636
06:27:28.492	0.00111489	0.00094287
06:27:28.500	0.00094978	0.00075799
06:27:28.508	0.00081770	0.00097369
06:27:28.516	0.00091676	0.00094287
06:27:28.523	0.00098280	0.00081962
06:27:28.531	0.00094978	0.00063473
06:27:28.539	0.00065260	0.00072717
06:27:28.547	0.00075166	0.00063473
06:27:28.555	0.00081770	0.00075799
06:27:28.563	0.00088374	0.00066555
06:27:28.570	0.00085072	0.00069636
06:27:28.578	0.00068562	0.00091206
